"transaction_id","amount","user_id","hour","merchant","location","card_type","risk_score","fraud_reason","risk_level","is_fraud_flag","time","diff"
"5DDC9D19","1816.86","USER_0007","17","Amazon","Ahmedabad","Visa","0","CLEAN","CLEAN","False","1772125365560","1"
"32D37314","4288.01","USER_0009","12","Flipkart","Kolkata","Mastercard","0","CLEAN","CLEAN","False","1772125365560","1"
"5929D59F","621.17","USER_0021","23","MedPlus Pharmacy","Chennai","Amex","0","CLEAN","CLEAN","False","1772125365560","1"
"76308C1A","3334.92","USER_0014","10","Amazon","Bangalore","Mastercard","0","CLEAN","CLEAN","False","1772125365560","1"
"487B4E7E","2407.24","USER_0043","21","Netflix","Bangalore","RuPay","0","CLEAN","CLEAN","False","1772125365560","1"
"650BE9DA","4421.54","USER_0038","18","BigBasket","Jaipur","RuPay","0","CLEAN","CLEAN","False","1772125365560","1"
"6FFEE2DD","542.92","USER_0046","16","Zomato","Pune","Mastercard","0","CLEAN","CLEAN","False","1772125366396","1"
"F675E945","2019.53","USER_0024","5","D-Mart","Hyderabad","Amex","50","OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366396","1"
"11328F66","1692.84","USER_0047","12","MedPlus Pharmacy","Bangalore","Amex","0","CLEAN","CLEAN","False","1772125366396","1"
"969EC212","3101.76","USER_0045","23","CasinoRoyal","Pune","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366396","1"
"890BFA28","2608.23","USER_0043","10","Swiggy","Ahmedabad","Mastercard","0","CLEAN","CLEAN","False","1772125366396","1"
"699D2BA1","23548.13","USER_0003","0","Ola","Chennai","RuPay","90","HIGH AMOUNT ($23,548.13 > $5000) | OFF-HOURS (hour=0:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366398","1"
"850560E7","1535.39","USER_0031","13","Netflix","Bangalore","RuPay","0","CLEAN","CLEAN","False","1772125366398","1"
"6A0B7FFB","2454.04","USER_0042","15","BookMyShow","Hyderabad","Mastercard","0","CLEAN","CLEAN","False","1772125366398","1"
"B6D71B10","1378.51","USER_0031","12","IRCTC","Bangalore","Visa","0","CLEAN","CLEAN","False","1772125366398","1"
"26B4725C","1769.94","USER_0020","9","D-Mart","Jaipur","RuPay","0","CLEAN","CLEAN","False","1772125366398","1"
"974363D4","6023.1","USER_0017","1","Zomato","Jaipur","Amex","90","HIGH AMOUNT ($6,023.10 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366402","1"
"46A00A60","3795.0","USER_0001","21","CryptoExchange_BuyBit","Kolkata","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366402","1"
"5EAAE062","3929.84","USER_0046","12","Flipkart","Bangalore","Visa","0","CLEAN","CLEAN","False","1772125366402","1"
"69A1D7BE","1021.45","USER_0027","15","CryptoExchange_BuyBit","Mumbai","Amex","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366402","1"
"27640F32","8494.45","USER_0037","3","WireTransfer_Global","Hyderabad","Amex","100","HIGH AMOUNT ($8,494.45 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366402","1"
"82A48C61","1901.55","USER_0041","19","IRCTC","Jaipur","Mastercard","0","CLEAN","CLEAN","False","1772125366402","1"
"03270942","2118.06","USER_0020","17","MedPlus Pharmacy","Ahmedabad","Amex","0","CLEAN","CLEAN","False","1772125366402","1"
"B6216AAD","3120.36","USER_0007","7","BookMyShow","Pune","RuPay","0","CLEAN","CLEAN","False","1772125366404","1"
"3988FC60","4385.33","USER_0021","10","IRCTC","Jaipur","Amex","0","CLEAN","CLEAN","False","1772125366404","1"
"05A36F93","928.93","USER_0026","13","Amazon","Bangalore","Mastercard","0","CLEAN","CLEAN","False","1772125366404","1"
"541EF8CB","3222.86","USER_0040","9","BigBasket","Surat","Amex","0","CLEAN","CLEAN","False","1772125366404","1"
"383D8211","4334.44","USER_0016","6","MedPlus Pharmacy","Chennai","RuPay","0","CLEAN","CLEAN","False","1772125366404","1"
"197BEBBD","4339.31","USER_0034","15","Uber","Chennai","Mastercard","0","CLEAN","CLEAN","False","1772125366404","1"
"E45BDF8B","1326.31","USER_0040","17","Ola","Jaipur","Visa","0","CLEAN","CLEAN","False","1772125366404","1"
"84555A13","1241.69","USER_0045","3","Amazon","Bangalore","Visa","50","OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366406","1"
"C085D189","3358.64","USER_0050","11","Swiggy","Bangalore","Visa","0","CLEAN","CLEAN","False","1772125366406","1"
"E0F94E67","3446.45","USER_0007","18","Netflix","Mumbai","Mastercard","0","CLEAN","CLEAN","False","1772125366406","1"
"C7B302E2","2554.37","USER_0010","7","Myntra","Delhi","Amex","0","CLEAN","CLEAN","False","1772125366406","1"
"21E1D9FF","855.26","USER_0027","18","MedPlus Pharmacy","Hyderabad","Mastercard","0","CLEAN","CLEAN","False","1772125366406","1"
"24094DC1","659.59","USER_0048","11","MedPlus Pharmacy","Kolkata","Mastercard","0","CLEAN","CLEAN","False","1772125366406","1"
"FF8A8271","10757.95","USER_0014","1","Swiggy","Mumbai","Amex","90","HIGH AMOUNT ($10,757.95 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366406","1"
"FEE5ECB3","2654.39","USER_0026","1","WireTransfer_Global","Jaipur","Visa","75","OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366406","1"
"BC1F4F09","2914.54","USER_0037","10","Myntra","Bangalore","Visa","0","CLEAN","CLEAN","False","1772125366408","1"
"2E5C48BD","4095.27","USER_0038","10","Amazon","Delhi","Visa","0","CLEAN","CLEAN","False","1772125366408","1"
"DEF055BA","1465.09","USER_0034","20","Uber","Surat","Visa","0","CLEAN","CLEAN","False","1772125366408","1"
"EB5B1510","3816.73","USER_0005","5","Ola","Kolkata","RuPay","50","OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366410","1"
"A2C5C85A","3829.74","USER_0007","22","CasinoRoyal","Chennai","Amex","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366410","1"
"F3992E26","4384.7","USER_0008","2","WireTransfer_Global","Chennai","Mastercard","75","OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366410","1"
"A07A061F","2722.14","USER_0010","4","Reliance Mart","Mumbai","Mastercard","50","OFF-HOURS (hour=4:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366410","1"
"71A2CC87","2295.69","USER_0007","21","CasinoRoyal","Surat","Visa","25","HIGH-RISK MERCHANT CATEGORY","LOW","False","1772125366410","1"
"F6CEA50F","4048.75","USER_0024","4","CryptoExchange_BuyBit","Pune","RuPay","75","OFF-HOURS (hour=4:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366410","1"
